     100 files     165 text files.
classified 156 filesDuplicate file check 156 files (144 known unique)Unique:      100 files                                               147 unique files.                              
Counting:  100     233 files ignored.

github.com/AlDanial/cloc v 1.96  T=1.34 s (109.7 files/s, 27697.4 lines/s)
----------------------------------------------------------------------------------------------------------------------------
File                                                                                     blank        comment           code
src/ending_mode.h                                                                            5              1             17
stages/test.lua                                                                             12             40             17
src/stages/null.cpp                                                                          4              0             15
src/image_buffer.h                                                                           7             11             14
Bigfilepacker/Bigfilepacker.vcxproj.user                                                     0              0             13
src/v2_lua_bindings_generated.cpp                                                            0              1             13
src/debug_ui.h                                                                               4             12             12
Bigfilepacker/x64/Release/Bigfilepacker.exe.recipe                                           0              0             11
Bigfilepacker/x64/Release/microsoft/STL/std.compat.ixx.ifc.dt.module.json                    0              0             11
Bigfilepacker/x64/Release/std.compat.ixx.ifc.dt.module.json                                  0              0             11
Bigfilepacker/x64/Release/microsoft/STL/std.compat.ixx.ifc.dt.d.json                         0              0             10
Bigfilepacker/x64/Release/std.compat.ixx.ifc.dt.d.json                                       0              0             10
stages/shooting_squad.lua                                                                    0              1             10
Bigfilepacker/x64/Release/microsoft/STL/std.ixx.ifc.dt.module.json                           0              0              9
Bigfilepacker/x64/Release/std.ixx.ifc.dt.module.json                                         0              0              9
src/shader_effect_types.h                                                                    4              5              9
src/game_uid_generator.h                                                                     2              0              8
src/lua_binding_macro.h                                                                      6             15              8
stages/1_3.lua                                                                               1              4              6
stages/3_3.lua                                                                               1              0              5
src/entity_lua_bindings_generated.cpp                                                        0              1              2
src/bigfile.h                                                                                1              0              1
src/discord_api_key.cpp                                                                      0              0              1
----------------------------------------------------------------------------------------------------------------------------
SUM:                                                                                      5243           3009          28875
----------------------------------------------------------------------------------------------------------------------------
